YEAR,Predicted from Tree-ring data
1659,314.809273
1660,297.915604
1661,299.808779
1662,266.338151
1663,275.945648
1664,240.741043
1665,217.983718
1666,116.529628
1667,108.736471
1668,119.093712
1669,156.445643
1670,160.017234
1671,192.802353
1672,191.978508
1673,205.077269
1674,257.00334
1675,260.065675
1676,278.50543
1677,253.016907
1678,236.668579
1679,241.772429
1680,289.455098
1681,333.655292
1682,349.953363
1683,241.489279
1684,170.634153
1685,150.573685
1686,200.820139
1687,198.860963
1688,199.002582
1689,213.675648
1690,195.848543
1691,232.401881
1692,272.966886
1693,233.413412
1694,172.018156
1695,172.193943
1696,171.885714
1697,249.951019
1698,260.25973
1699,278.536025
1700,243.699218
1701,257.120627
1702,254.427906
1703,266.127832
1704,223.442043
1705,198.227471
1706,203.549093
1707,176.7073
1708,240.96147
1709,257.858285
1710,324.766919
1711,265.971894
1712,259.193699
1713,216.127647
1714,189.847817
1715,181.232167
1716,222.454861
1717,285.954187
1718,307.771058
1719,325.991123
1720,363.385447
1721,332.677635
1722,288.410463
1723,228.309997
1724,252.175833
1725,268.380064
1726,283.202634
1727,233.664675
1728,218.725172
1729,188.186708
1730,200.082252
1731,172.647707
1732,221.053937
1733,208.148225
1734,256.691183
1735,227.737112
1736,240.469559
1737,202.76873
1738,176.879744
1739,180.738694
1740,208.487232
1741,245.173764
1742,248.15151
1743,293.038968
1744,290.012884
1745,340.648916
1746,322.205526
1747,287.750106
1748,222.360665
1749,309.875379
1750,244.627539
1751,241.925745
1752,189.258884
1753,236.860116
1754,224.745961
1755,183.268813
1756,174.799019
1757,189.330016
1758,235.482017
1759,238.789356
1760,234.893146
1761,216.258962
1762,219.294335
1763,179.109444
1764,217.949199
1765,215.895771
1766,250.908603
1767,262.275576
1768,252.652179
1769,283.867164
1770,267.509017
1771,247.184705
1772,192.473083
1773,192.748723
1774,220.434322
1775,205.843026
1776,206.554528
1777,227.294504
1778,228.779233
1779,209.414213
1780,167.920651
1781,204.881927
1782,245.07852
1783,264.675099
1784,248.985918
1785,219.531158
1786,200.243661
1787,197.413179
1788,210.359143
1789,225.495542
1790,279.5241
1791,283.695499
1792,307.849693
1793,298.843268
1794,255.343474
1795,210.355833
1796,192.726609
1797,191.69594
1798,196.01966
1799,197.583908
1800,186.26433
1801,206.457129
1802,205.723038
1803,200.037618
1804,199.238064
1805,208.602179
1806,222.090021
1807,212.475108
1808,216.683397
1809,205.268134
1810,220.704186
1811,203.529595
1812,246.491162
1813,319.276103
1814,400.435653
1815,393.232402
1816,301.807679
1817,164.336188
1818,121.619309
1819,155.289764
1820,167.751664
1821,177.262752
1822,159.585795
1823,198.810463
1824,212.340338
1825,261.531604
1826,276.77013
1827,301.323485
1828,259.309853
1829,209.714327
1830,163.108972
1831,161.203439
1832,228.960978
1833,305.492008
1834,275.989164
1835,234.625057
1836,192.166727
1837,219.673495
1838,239.281849
1839,264.461307
1840,231.372638
1841,199.405536
1842,196.195492
1843,216.214991
1844,252.929119
1845,231.134238
1846,220.905313
1847,218.37788
1848,256.06027
1849,255.112889
1850,237.893459
1851,227.999348
1852,274.248837
1853,253.747087
1854,258.508787
1855,238.006858
1856,255.773852
1857,222.27115
1858,197.551513
1859,163.979225
1860,178.469261
1861,169.303123
1862,132.254426
1863,151.594425
1864,177.268448
1865,218.471822
1866,265.548184
1867,289.793959
1868,284.523775
1869,253.550236
1870,189.201262
1871,208.27127
1872,184.21525
1873,179.159921
1874,203.648619
1875,231.336399
1876,253.767887
1877,259.284621
1878,238.483861
1879,222.289254
1880,232.74149
1881,239.531673
1882,227.780197
1883,243.452019
1884,237.328398
1885,246.489266
1886,209.86603
1887,251.340948
1888,225.053314
1889,221.795297
1890,174.632808
1891,166.11388
1892,162.315212
1893,185.742792
1894,165.446504
1895,168.411303
1896,218.080552
1897,249.379713
1898,237.980028
1899,207.764518
1900,216.732602
1901,269.761826
1902,212.424116
1903,258.183045
1904,205.104894
1905,327.211718
1906,313.185662
1907,303.401471
1908,206.728492
1909,169.216697
1910,183.844175
1911,261.152745
1912,268.660662
1913,274.909861
1914,285.36888
1915,264.514196
1916,238.786488
1917,230.332574
1918,246.953617
1919,305.291623
1920,264.025161
1921,204.375506
1922,211.514531
1923,159.659308
1924,158.540451
1925,127.853446
1926,219.169637
1927,242.906075
1928,254.272841
1929,257.41514
1930,241.70161
1931,280.10649
1932,228.47338
1933,203.414182
1934,143.441705
1935,212.840146
1936,198.681723
1937,156.36894
1938,153.53706
1939,163.72021
1940,253.499741
1941,279.854604
1942,269.325799
1943,259.083917
1944,223.9979
1945,183.506435
1946,163.778224
1947,185.331185
1948,192.717956
1949,190.594583
1950,165.823935
1951,212.921323
1952,195.123371
1953,169.915224
1954,72.449897
1955,80.984016
1956,94.797022
1957,161.874596
1958,210.041711
1959,216.47656
1960,244.150426
1961,255.900037
1962,254.10131
1963,239.921871
1964,252.628688
1965,273.451836
1966,292.163519
1967,288.734047
1968,342.617613
1969,298.789918
1970,158.2
